Point,Sum Error
0.0,-1.0458174172032164
1.0,-7.5790393413085056e-06
2.0,-0.07827103891227949
3.0,-0.05799864439344363
4.0,-1.8314258636296252
5.0,-2.367566519551225
6.0,-0.27287661504084326
7.0,-0.2455306933939424
8.0,-1.3872818675192649e-06
9.0,0.5730645928109169
Point 0.0 Average,-1.0458174172032164
Point 1.0 Average,-7.5790393413085056e-06
Point 2.0 Average,-0.07827103891227949
Point 3.0 Average,-0.05799864439344363
Point 4.0 Average,-1.8314258636296252
Point 5.0 Average,-2.367566519551225
Point 6.0 Average,-0.27287661504084326
Point 7.0 Average,-0.2455306933939424
Point 8.0 Average,-1.3872818675192649e-06
Point 9.0 Average,0.5730645928109169
Overall Average,-0.5326431165634867
